rank,loop_path,length,min_edge_weight
182,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → LacticAcid → Release A → Leucocytes → ER Registration → ER Sepsis Triage,10,1
183,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → LacticAcid → ER Registration → Leucocytes → Admission IC → ER Sepsis Triage,10,1
184,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → LacticAcid → ER Registration → Admission IC → Leucocytes → ER Sepsis Triage,10,1
185,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → ER Registration → Leucocytes → LacticAcid → Admission IC → ER Sepsis Triage,10,1
186,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → ER Registration → LacticAcid → Leucocytes → Admission IC → ER Sepsis Triage,10,1
187,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → ER Registration → LacticAcid → Release A → Leucocytes → ER Sepsis Triage,10,1
188,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → LacticAcid → Release A → Leucocytes → ER Triage → ER Registration → Admission IC → ER Sepsis Triage,11,1
189,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → LacticAcid → ER Triage → ER Registration → Admission IC → ER Sepsis Triage,11,1
190,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → Admission IC → LacticAcid → ER Triage → ER Registration → ER Sepsis Triage,11,1
191,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → Admission IC → LacticAcid → ER Registration → ER Triage → ER Sepsis Triage,11,1
192,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → ER Registration → ER Triage → LacticAcid → Admission IC → ER Sepsis Triage,11,1
193,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → ER Registration → Admission IC → LacticAcid → ER Triage → ER Sepsis Triage,11,1
194,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → ER Triage → LacticAcid → ER Registration → Admission IC → ER Sepsis Triage,11,1
195,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → ER Triage → ER Registration → LacticAcid → Admission IC → ER Sepsis Triage,11,1
196,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Release A → Leucocytes → ER Triage → ER Registration → Admission IC → LacticAcid → ER Sepsis Triage,11,1
197,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → LacticAcid → Release A → Leucocytes → ER Registration → ER Triage → ER Sepsis Triage,11,1
198,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → Admission IC → LacticAcid → Release A → Leucocytes → ER Triage → ER Registration → ER Sepsis Triage,11,1
199,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → LacticAcid → Release A → Leucocytes → ER Registration → Admission IC → ER Sepsis Triage,11,1
200,ER Sepsis Triage → IV Liquid → IV Antibiotics → Admission NC → CRP → ER Triage → ER Registration → LacticAcid → Release A → Leucocytes → Admission IC → ER Sepsis Triage,11,1
